5.5,6.25,7,7.75,8.5,9.25,10,10.75,11.5,12.25,13
5.75,6.5,7.25,8,8.75,9.5,10.25,11,11.75,12.5,13.25
6,6.75,7.5,8.25,9,9.75,10.5,11.25,12,12.75,13.5
6.25,7,7.75,8.5,9.25,10,10.75,11.5,12.25,13,13.75
6.5,7.25,8,8.75,9.5,10.25,11,11.75,12.5,13.25,14
6.75,7.5,8.25,9,9.75,10.5,11.25,12,12.75,13.5,14.25
7,7.75,8.5,9.25,10,10.75,11.5,12.25,13,13.75,14.5
7.25,8,8.75,9.5,10.25,11,11.75,12.5,13.25,14,14.75
7.5,8.25,9,9.75,10.5,11.25,12,12.75,13.5,14.25,15
7.75,8.5,9.25,10,10.75,11.5,12.25,13,13.75,14.5,15.25
8,8.75,9.5,10.25,11,11.75,12.5,13.25,14,14.75,15.5
0,0,0,0,0,0,0,0,0,0,0
14.25,13.426,12.58,11.717,10.84,9.9531,9.06,8.1644,7.27,6.3806,5.5
14.426,13.625,12.802,11.96,11.103,10.235,9.3594,8.48,7.6006,6.725,5.8569
14.58,13.802,13,12.178,11.34,10.489,9.63,8.7656,7.9,7.0369,6.18
14.717,13.96,13.178,12.375,11.554,10.72,9.8756,9.025,8.1719,7.32,6.4731
14.84,14.103,13.34,12.554,11.75,10.931,10.1,9.2619,8.42,7.5781,6.74
14.953,14.235,13.489,12.72,11.931,11.125,10.307,9.48,8.6481,7.815,6.9844
15.06,14.359,13.63,12.876,12.1,11.307,10.5,9.6831,8.86,8.0344,7.21
15.164,14.48,13.766,13.025,12.262,11.48,10.683,9.875,9.0594,8.24,7.4206
15.27,14.601,13.9,13.172,12.42,11.648,10.86,10.059,9.25,8.4356,7.62
15.381,14.725,14.037,13.32,12.578,11.815,11.034,10.24,9.4356,8.625,7.8119
15.5,14.857,14.18,13.473,12.74,11.984,11.21,10.421,9.62,8.8119,8
